Title,Title_Clean,Tags,title_cluster,category_name,QuestionUrl,Year
"GPT-2 and other models from huggingface -100 label index for training, instead of pad token",gpt2 model huggingface 100 label index training instead pad token,"nlp,huggingface-transformers,pre-trained-model",6,BERT & Hugging Face Application,https://stackoverflow.com/questions/79548202,2025
How to remove layers in Huggingface's transformers GPT2 pre-trained models?,remove layer huggingface 's transformer gpt2 pretraine model,"python,machine-learning,deep-learning,nlp,transformer-model",6,BERT & Hugging Face Application,https://stackoverflow.com/questions/78219076,2024
Is BertForSequenceClassification using the CLS vector?,bertforsequenceclassification use cls vector,"nlp,huggingface-transformers,bert-language-model",6,BERT & Hugging Face Application,https://stackoverflow.com/questions/78240828,2024
Torchtext functions in Newest version analogue,torchtext function new version analogue,"nlp,version,torchtext",6,BERT & Hugging Face Application,https://stackoverflow.com/questions/78136056,2024
Fine-tuning BERT with deterministic masking instead of random masking,finetune bert deterministic masking instead random masking,"nlp,huggingface-transformers,bert-language-model",6,BERT & Hugging Face Application,https://stackoverflow.com/questions/78365608,2024
Determining contents of decoder_hidden_states from T5ForConditionalGeneration,determine content decoder_hidden_states t5forconditionalgeneration,"pytorch,nlp,huggingface-transformers",7,Text Similarity,https://stackoverflow.com/questions/78430524,2024
Why doesn't fuzzywuzzy's process.extractBests give a 100% score when the tested string 100% contains the query string?,not fuzzywuzzy 's processextractbest give 100 % score test string 100 % contain query string,"python,nlp,string-matching,fuzzywuzzy",7,Text Similarity,https://stackoverflow.com/questions/78455102,2024
Truncate texts in the middle for Bert,truncate text middle bert,"nlp,token,tokenize,bert-language-model",7,Text Similarity,https://stackoverflow.com/questions/77835506,2024
How to get the SHAP value per class?,get shap value per class,"machine-learning,deep-learning,nlp,shap,xai",7,Text Similarity,https://stackoverflow.com/questions/78060804,2024
How to calculate word and sentence embedding using Roberta?,calculate word sentence embed use roberta,"python,machine-learning,nlp,huggingface-transformers,transformer-model",7,Text Similarity,https://stackoverflow.com/questions/77805776,2024
Are [INST] and [/INST] needed for mistral chat?,inst /inst need mistral chat,"nlp,mistral-7b",7,Text Similarity,https://stackoverflow.com/questions/77963718,2024
How to optimize this function and improve running time?,optimize function improve run time,"python,performance,optimization,nlp,nltk",7,Text Similarity,https://stackoverflow.com/questions/78461078,2024
Avoiding overlap in frequency and document frequency count in Quanteda,avoid overlap frequency document frequency count quanteda,"r,count,nlp,overlap,quanteda",7,Text Similarity,https://stackoverflow.com/questions/79057082,2024
How to find similar sounding words?,find similar sound word,"python,nlp,nltk",7,Text Similarity,https://stackoverflow.com/questions/77784846,2024
Finding Root Form of Verbs using Curiosity-AI/Catalyst,find root form verb use curiosityai / catalyst,"c#,nlp",7,Text Similarity,https://stackoverflow.com/questions/79148979,2024
How Can i improve the quality of documentai document-ocr processor result,improve quality documentai documentocr processor result,"google-cloud-platform,nlp,cloud-document-ai",8,Word Embedding,https://stackoverflow.com/questions/75224828,2023
"Error while loading Word2Vec model using linux, but running well in windows",error load word2vec model use linux run well window,"python,deep-learning,nlp,pickle,gensim",8,Word Embedding,https://stackoverflow.com/questions/76156920,2023
Word2Vec - same context word different label,word2vec context word different label,"nlp,word2vec",8,Word Embedding,https://stackoverflow.com/questions/76097304,2023
Fine tune a custom word2vec model with gensim 4,fine tune custom word2vec model gensim 4,"python,scikit-learn,nlp,gensim,word2vec",8,Word Embedding,https://stackoverflow.com/questions/76161758,2023
Gensim's Doc2Vec with documents in multiple languages,gensim 's doc2vec document multiple language,"python,nlp,gensim,recommendation-engine,doc2vec",8,Word Embedding,https://stackoverflow.com/questions/78262529,2024
Why does the loss of Gensim Word2Vec model deteriorate in every epoch?,loss gensim word2vec model deteriorate every epoch,"nlp,gensim,word2vec,word-embedding",8,Word Embedding,https://stackoverflow.com/questions/75908046,2023
What's inside inner vertices in Word2Vec Hierarchical Softmax?,'s inside inner vertex word2vec hierarchical softmax,"machine-learning,nlp,word2vec,hierarchical,softmax",8,Word Embedding,https://stackoverflow.com/questions/78285447,2024
Unable to fit new documents without running out of memory in STM topic modeling,unable fit new document without run memory stm topic modeling,"r,nlp,lda,stm",8,Word Embedding,https://stackoverflow.com/questions/78573280,2024
Is it possible to fine-tune a pretrained word embedding model like vec2word?,possible finetune pretraine word embed model like vec2word,"python,nlp,artificial-intelligence,word2vec,word-embedding",8,Word Embedding,https://stackoverflow.com/questions/78317989,2024
Solution to solve problem different results when run Doc2vec gensim?,solution solve problem different result run doc2vec gensim,"nlp,doc2vec",8,Word Embedding,https://stackoverflow.com/questions/78184077,2024
Langchain sql agent with context,langchain sql agent context,"text,nlp,langchain",9,NLP Application,https://stackoverflow.com/questions/78394225,2024
Determining most popular words in the English dictionary within a dictionary of words,determine popular word english dictionary within dictionary word,"python,nlp,nltk,detection",9,NLP Application,https://stackoverflow.com/questions/79293919,2024
Presidio with Langchain Experimental does not detect Polish names,presidio langchain experimental detect polish name,"python,nlp,spacy,langchain,presidio",9,NLP Application,https://stackoverflow.com/questions/79482283,2025
I am classifying each word in a sentence (Named Entity Recognition) but I receive ...an unexpected keyword argument 'grouped_entities',classify word sentence name entity recognition receive unexpected keyword argument ' grouped_entitie ',"python,nlp,google-cloud-colab-enterprise",9,NLP Application,https://stackoverflow.com/questions/77823105,2024
"Dutch sentiment analysis RobBERTje outputs just positive/negative labels, netural label is missing",dutch sentiment analysis robbertje outputs positive / negative label netural label miss,"python,nlp,bert-language-model,roberta-language-model",9,NLP Application,https://stackoverflow.com/questions/79155290,2024
"How to derive attributes/labels from short plain text descriptions? (NER, LLM, ?)",derive attribute / label short plain text description ner llm,"nlp,artificial-intelligence,large-language-model,named-entity-recognition",9,NLP Application,https://stackoverflow.com/questions/79111733,2024
FastText language_identification in R returns too many arguments - how to match to texts?,fasttext language_identification r return many argument match text,"r,nlp,fasttext,language-detection",9,NLP Application,https://stackoverflow.com/questions/78443980,2024
"How to detect if two sentences are simmilar, not in meaning, but in syllables/words?",detect two sentence simmilar mean syllable / word,"search,nlp,full-text-search,similarity,sentence-similarity",9,NLP Application,https://stackoverflow.com/questions/78241665,2024
Performance of textSimilarity() from R's text library,performance textsimilarity r 's text library,"r,performance,nlp,huggingface-transformers",9,NLP Application,https://stackoverflow.com/questions/78393709,2024
"BERTopic: ""Make sure that the iterable only contains strings""",bertopic make sure iterable contain string,"python,python-3.x,nlp,topic-modeling",9,NLP Application,https://stackoverflow.com/questions/77846486,2024
